iter	Passed	Remaining
0	1	192
1	3	180
2	5	182
3	6	167
4	8	165
5	10	162
6	12	160
7	13	158
8	15	156
9	17	154
10	18	152
11	20	150
12	22	148
13	23	146
14	25	144
15	27	142
16	28	140
17	30	139
18	32	137
19	33	135
20	35	133
21	37	132
22	39	131
23	40	129
24	42	127
25	44	125
26	46	124
27	48	123
28	49	122
29	51	120
30	53	118
31	55	116
32	56	115
33	58	113
34	60	111
35	61	110
36	63	108
37	65	106
38	66	104
39	68	102
40	70	101
41	71	98
42	72	96
43	74	94
44	76	92
45	77	91
46	79	89
47	81	87
48	82	86
49	84	84
50	86	82
51	87	81
52	89	79
53	91	77
54	92	75
55	94	73
56	95	72
57	97	70
58	99	68
59	100	67
60	102	65
61	104	63
62	105	62
63	107	60
64	109	58
65	110	57
66	112	55
67	114	53
68	115	52
69	117	50
70	119	48
71	121	47
72	122	45
73	124	43
74	126	42
75	127	40
76	129	38
77	131	36
78	132	35
79	134	33
80	136	31
81	137	30
82	139	28
83	141	26
84	142	25
85	144	23
86	146	21
87	148	20
88	149	18
89	151	16
90	153	15
91	155	13
92	156	11
93	158	10
94	160	8
95	161	6
96	163	5
97	165	3
98	166	1
99	168	0
