iter	Passed	Remaining
0	48	48284
1	50	25222
2	52	17457
3	54	13597
4	58	11605
5	61	10155
6	64	9107
7	67	8339
8	69	7658
9	74	7361
10	77	6934
11	79	6559
12	81	6214
13	83	5904
14	86	5697
15	89	5499
16	92	5330
17	94	5154
18	96	4981
19	98	4834
20	101	4730
21	103	4615
22	106	4503
23	108	4392
24	109	4284
25	111	4190
26	116	4181
27	119	4150
28	122	4088
29	124	4016
30	126	3947
31	129	3904
32	131	3852
33	134	3817
34	136	3763
35	138	3720
36	140	3661
37	143	3620
38	146	3600
39	148	3562
40	150	3528
41	152	3486
42	155	3453
43	158	3433
44	161	3422
45	163	3396
46	165	3359
47	167	3324
48	169	3292
49	171	3262
50	175	3267
51	177	3244
52	180	3227
53	182	3202
54	185	3184
55	187	3165
56	190	3148
57	192	3124
58	194	3100
59	196	3075
60	198	3048
61	199	3023
62	201	2998
63	203	2972
64	204	2948
65	206	2925
66	208	2905
67	210	2885
68	212	2862
69	213	2840
70	215	2818
71	217	2798
72	218	2779
73	220	2759
74	222	2740
75	223	2721
76	225	2702
77	227	2684
78	228	2665
79	230	2648
80	232	2632
81	234	2624
82	235	2602
83	237	2588
84	239	2575
85	240	2559
86	242	2545
87	244	2529
88	245	2516
89	247	2506
90	249	2493
91	251	2480
92	252	2467
93	254	2453
94	256	2439
95	257	2427
96	259	2414
97	261	2403
98	262	2392
99	264	2382
100	266	2371
101	268	2361
102	269	2350
103	271	2342
104	273	2331
105	275	2321
106	276	2311
107	278	2303
108	280	2296
109	282	2287
110	284	2279
111	286	2270
112	288	2261
113	289	2252
114	292	2249
115	294	2245
116	296	2237
117	298	2231
118	300	2222
119	301	2212
120	303	2203
121	304	2192
122	306	2184
123	308	2177
124	309	2169
125	311	2161
126	313	2151
127	314	2144
128	316	2136
129	318	2128
130	319	2120
131	321	2114
132	323	2106
133	325	2100
134	326	2094
135	329	2090
136	330	2083
137	332	2076
138	333	2068
139	335	2062
140	337	2056
141	338	2047
142	340	2041
143	342	2034
144	343	2027
145	345	2021
146	347	2015
147	348	2008
148	350	2002
149	353	2003
150	355	2000
151	357	1994
152	359	1989
153	360	1983
154	362	1977
